SN,BLOOMBERG,COUNTERPARTY,CALYPSO
1,SCNG,STANDARD CHARTERED BANK NIGERIA LTD,STANDARD CHARTERED NIGERIA
2,FIDN,FIDELITY BANK PLC,FIDELITY BANK
3,RANM,RAND MERCHANT BANK,RAND MERCHANT BANK
4,ZENB,ZENITH BANK PLC,ZENITH BANK
5,GTBP,GUARANTY TRUST BANK PLC,GUARANTY TRUST BANK
6,UBON,UNION BANK OF NIGERIA PLC,UNION BANK
7,ECOX,ECOBANK NIGERIA PLC,ECOBANK NIGERIA
8,SIBP,STANBIC IBTC BANK PLC,STANBIC IBTC BANK
9,STEB,STERLING BANK PLC,STERLING BANK
10,HERI,HERITAGE BANKING COMPANY LIMITED,HERITAGE BANKING COMPANY
11,CITN,CITIBANK NIGERIA LIMITED,CITIBANK NIGERIA
12,WEMB,WEMA BANK PLC,WEMA BANK
13,FBON,FIRST BANK OF NIGERIA PLC,FIRST BANK OF NIGERIA
14,UBAF,UNITED BANK FOR AFRICA PLC,UBA NIGERIA
15,UBPL,UNITY BANK PLC,UNITY BANK
16,FBNM,FBN MERCHANT BANK LIMITED,FBN MERCHANT BANK
17,FSDH,FSDH MERCHANT BANK LIMITED,FSDH MERCHANT BANK
18,ACBK,ACCESS BANK PLC,ACCESS BANK
19,CMBL,CORONATION MERCHANT BANK LTD,CORONATION MERCHANT BANK
20,FCMO,FIRST CITY MONUMENT BANK PLC,FIRST CITY MONUMENT BANK
21,KEYS,KEYSTONE BANK LIMITED,KEYSTONE BANK
22,POLB,POLARIS BANK LIMITED,POLARIS BANK
23,JAIZ,JAIZ BANK,JAIZ BANK
24,LOBL,LOTUS BANK LIMITED,LOTUS BANK
25,TAJB,TAJ BANK LIMITED,TAJ BANK
26,PRBK,PROVIDUS BANK LIMITED,PROVIDUS
27,TTBL,TITAN TRUST BANK LIMITED,TITAN BANK
28,PLBL,PARALLEX BANK LIMITED,PARALLEX BANK
29,GBBL,GLOBUS BANK LIMITED,GLOBUS BANK
30,GMBN,GREENWICH MERCHANT BANK LIMITED,GREENWICH MERCHANT
31,SBNL,SUNTRUST BANK NIGERIA LTD,SUNTRUST BANK
32,NMBL,NOVA MERCHANT BANK LTD,NOVA MERCHANT BANK
